1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3600000062392621
Is Mission Active?  true
Mission Start:  Fri Jul 21 15:13:00 AKDT 2023
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  1578
Total Samples:  3051
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/21/23 6:21:00 PM,C,5.5
7/21/23 6:22:00 PM,C,5.5
7/21/23 6:23:00 PM,C,5.5
7/21/23 6:24:00 PM,C,5.5
7/21/23 6:25:00 PM,C,5.5
7/21/23 6:26:00 PM,C,5.5
7/21/23 6:27:00 PM,C,5.5
7/21/23 6:28:00 PM,C,5.5
7/21/23 6:29:00 PM,C,5.5
7/21/23 6:30:00 PM,C,5.5
7/21/23 6:31:00 PM,C,5.5
7/21/23 6:32:00 PM,C,5.5
7/21/23 6:33:00 PM,C,6
7/21/23 6:34:00 PM,C,6
7/21/23 6:35:00 PM,C,6
7/21/23 6:36:00 PM,C,6
7/21/23 6:37:00 PM,C,6
7/21/23 6:38:00 PM,C,6
7/21/23 6:39:00 PM,C,6
7/21/23 6:40:00 PM,C,6
7/21/23 6:41:00 PM,C,6
7/21/23 6:42:00 PM,C,6
7/21/23 6:43:00 PM,C,6
7/21/23 6:44:00 PM,C,6
7/21/23 6:45:00 PM,C,6
7/21/23 6:46:00 PM,C,6
7/21/23 6:47:00 PM,C,6
7/21/23 6:48:00 PM,C,6
7/21/23 6:49:00 PM,C,6
7/21/23 6:50:00 PM,C,6
7/21/23 6:51:00 PM,C,6
7/21/23 6:52:00 PM,C,6
7/21/23 6:53:00 PM,C,6
7/21/23 6:54:00 PM,C,6
7/21/23 6:55:00 PM,C,6
7/21/23 6:56:00 PM,C,6
7/21/23 6:57:00 PM,C,6
7/21/23 6:58:00 PM,C,6
